unit,sex,statinfo,geography,date,value
YR,M,LE_0,CH,2017,81.6
YR,M,LE_0,CY,2017,80.2
YR,M,LE_0,CZ,2017,76.1
YR,M,LE_0,DE,2017,78.7
YR,M,LE_0,DK,2017,79.2
YR,M,LE_0,EE,2017,73.8
YR,M,LE_0,EL,2017,78.8
YR,M,LE_0,ES,2017,80.6
YR,M,LE_0,EU27_2020,2017,78.1
YR,M,LE_0,EU28,2017,78.3
YR,M,LE_0,FI,2017,78.9
YR,M,LE_0,FR,2017,79.6
YR,M,LE_0,HR,2017,74.9
YR,M,LE_0,HU,2017,72.5
YR,M,LE_0,IE,2017,80.4
YR,M,LE_0,IS,2017,81.1
YR,M,LE_0,IT,2017,80.8
YR,M,LE_0,LT,2017,70.7
YR,M,LE_0,LU,2017,79.9
YR,M,LE_0,LV,2017,69.8
YR,M,LE_0,MT,2017,80.2
YR,M,LE_0,NL,2017,80.2
YR,M,LE_0,NO,2017,81.0
YR,M,LE_0,PL,2017,73.9
YR,M,LE_0,PT,2017,78.4
YR,M,LE_0,RO,2017,71.6
YR,M,LE_0,SE,2017,80.8
YR,M,LE_0,SI,2017,78.2
YR,M,LE_0,SK,2017,73.8
YR,M,LE_0,UK,2017,79.5
YR,F,LE_0,AT,2018,84.1
YR,F,LE_0,BE,2018,83.9
YR,F,LE_0,BG,2018,78.6
YR,F,LE_0,CH,2018,85.7
YR,F,LE_0,CY,2018,84.8
YR,F,LE_0,CZ,2018,82.0
YR,F,LE_0,DE,2018,83.3
YR,F,LE_0,DK,2018,82.9
YR,F,LE_0,EE,2018,82.7
YR,F,LE_0,EL,2018,84.4
YR,F,LE_0,ES,2018,86.3
YR,F,LE_0,EU27_2020,2018,83.7
YR,F,LE_0,EU28,2018,83.6
YR,F,LE_0,FI,2018,84.5
YR,F,LE_0,FR,2018,85.8
YR,F,LE_0,HR,2018,81.5
YR,F,LE_0,HU,2018,79.6
YR,F,LE_0,IE,2018,84.1
YR,F,LE_0,IS,2018,84.5
YR,F,LE_0,IT,2018,85.6
YR,F,LE_0,LT,2018,80.7
YR,F,LE_0,LU,2018,84.6
YR,F,LE_0,LV,2018,79.7
YR,F,LE_0,MT,2018,84.6
YR,F,LE_0,NL,2018,83.4
YR,F,LE_0,NO,2018,84.5
YR,F,LE_0,PL,2018,81.7
YR,F,LE_0,PT,2018,84.5
